,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
0,0.4588,Mon Jan 08 07:38:10 +0000 2018,BBC,0.667,0.0,0.333,1
1,0.2263,Sun Jan 07 20:03:03 +0000 2018,BBC,0.734,0.107,0.158,2
2,0.7351,Sun Jan 07 19:30:04 +0000 2018,BBC,0.721,0.0,0.279,3
3,0.0,Sun Jan 07 19:25:10 +0000 2018,BBC,1.0,0.0,0.0,4
4,0.0,Sun Jan 07 19:22:48 +0000 2018,BBC,1.0,0.0,0.0,5
5,0.0,Sun Jan 07 19:19:39 +0000 2018,BBC,1.0,0.0,0.0,6
6,-0.1531,Sun Jan 07 19:18:56 +0000 2018,BBC,0.926,0.074,0.0,7
7,0.3612,Sun Jan 07 19:00:05 +0000 2018,BBC,0.898,0.0,0.102,8
8,0.0,Sun Jan 07 18:32:03 +0000 2018,BBC,1.0,0.0,0.0,9
9,0.6369,Sun Jan 07 17:59:05 +0000 2018,BBC,0.682,0.0,0.318,10
10,0.4215,Sun Jan 07 17:19:01 +0000 2018,BBC,0.797,0.0,0.203,11
11,0.128,Sun Jan 07 16:53:27 +0000 2018,BBC,0.359,0.308,0.333,12
12,-0.0258,Sun Jan 07 16:34:03 +0000 2018,BBC,0.695,0.155,0.15,13
13,0.5859,Sun Jan 07 16:31:59 +0000 2018,BBC,0.612,0.0,0.388,14
14,0.6369,Sun Jan 07 16:31:55 +0000 2018,BBC,0.769,0.0,0.231,15
15,0.0,Sun Jan 07 16:31:45 +0000 2018,BBC,1.0,0.0,0.0,16
16,0.4019,Sun Jan 07 16:31:39 +0000 2018,BBC,0.828,0.0,0.172,17
17,0.0,Sun Jan 07 16:30:09 +0000 2018,BBC,1.0,0.0,0.0,18
18,0.0,Sun Jan 07 16:27:07 +0000 2018,BBC,1.0,0.0,0.0,19
19,0.0,Sun Jan 07 16:25:04 +0000 2018,BBC,1.0,0.0,0.0,20
20,0.4588,Mon Jan 08 07:38:10 +0000 2018,BBC,0.667,0.0,0.333,21
21,0.2263,Sun Jan 07 20:03:03 +0000 2018,BBC,0.734,0.107,0.158,22
22,0.7351,Sun Jan 07 19:30:04 +0000 2018,BBC,0.721,0.0,0.279,23
23,0.0,Sun Jan 07 19:25:10 +0000 2018,BBC,1.0,0.0,0.0,24
